Symbol,Date,Open,High,Low,Close,Volume,Turnover
CHCL,1/17/2012,609,579,579,579,80,"46,320.00"
CHCL,1/18/2012,579,615,590,610,"2,950.00","1,804,480.00"
CHCL,1/19/2012,610,608,587,608,"1,380.00","834,310.00"
CHCL,1/22/2012,608,611,605,607,"2,310.00","1,402,720.00"
CHCL,1/23/2012,607,622,606,610,"3,430.00","2,093,720.00"
CHCL,1/25/2012,610,612,600,612,150,"91,440.00"
CHCL,1/26/2012,612,615,610,612,"2,660.00","1,628,200.00"
CHCL,1/29/2012,612,614,598,614,"5,440.00","3,311,360.00"
CHCL,1/31/2012,614,612,605,612,"1,280.00","779,380.00"
CHCL,2/1/2012,612,610,607,609,"2,860.00","1,743,010.00"
CHCL,2/2/2012,609,612,606,606,"4,880.00","2,967,510.00"
CHCL,2/5/2012,606,610,608,610,"2,530.00","1,540,730.00"
CHCL,2/6/2012,610,608,600,605,"1,900.00","1,147,080.00"
CHCL,2/7/2012,605,605,600,600,"3,180.00","1,912,100.00"
CHCL,2/8/2012,600,600,597,597,"1,530.00","916,520.00"
CHCL,2/9/2012,597,597,594,594,"2,620.00","1,559,890.00"
CHCL,2/12/2012,594,595,590,595,"2,210.00","1,308,700.00"
CHCL,2/13/2012,595,595,591,591,"5,040.00","2,988,600.00"
CHCL,2/14/2012,591,594,589,589,"2,410.00","1,423,910.00"
CHCL,2/15/2012,589,592,589,590,"1,980.00","1,168,150.00"
CHCL,2/16/2012,590,599,594,597,510,"304,200.00"
CHCL,2/21/2012,597,600,592,595,500,"297,210.00"
CHCL,2/23/2012,595,599,592,593,"1,460.00","869,260.00"
CHCL,2/26/2012,593,594,590,590,"1,700.00","1,004,200.00"
CHCL,2/27/2012,590,591,590,590,"1,130.00","666,940.00"
CHCL,2/28/2012,590,593,590,593,"1,900.00","1,123,730.00"
CHCL,2/29/2012,593,598,595,596,"1,140.00","678,900.00"
CHCL,3/1/2012,596,598,594,598,"2,720.00","1,619,950.00"
CHCL,3/4/2012,598,602,594,599,"3,350.00","2,002,200.00"
CHCL,3/5/2012,599,602,598,599,"2,390.00","1,433,690.00"
CHCL,3/6/2012,599,600,597,599,"2,360.00","1,413,210.00"
CHCL,3/11/2012,599,600,590,598,"6,530.00","3,858,170.00"
CHCL,3/12/2012,598,598,590,597,"9,890.00","5,850,790.00"
CHCL,3/13/2012,597,598,597,597,800,"477,660.00"
CHCL,3/14/2012,597,599,596,597,"1,890.00","1,130,600.00"
CHCL,3/15/2012,597,598,595,595,"1,240.00","738,440.00"
CHCL,3/18/2012,595,597,594,597,"2,090.00","1,243,080.00"
CHCL,3/19/2012,597,598,595,596,"2,410.00","1,437,890.00"
CHCL,3/20/2012,596,596,594,596,"2,260.00","1,343,770.00"
CHCL,3/21/2012,596,600,594,596,"1,960.00","1,166,600.00"
CHCL,3/25/2012,596,595,593,594,"1,800.00","1,070,440.00"
CHCL,3/26/2012,594,595,589,590,"2,580.00","1,525,690.00"
CHCL,3/27/2012,590,590,580,590,"1,100.00","646,890.00"
CHCL,3/28/2012,590,599,585,587,"2,390.00","1,404,600.00"
CHCL,3/29/2012,587,589,587,587,"2,920.00","1,714,830.00"
CHCL,4/1/2012,587,588,587,588,820,"481,650.00"
CHCL,4/2/2012,588,599,590,594,720,"426,040.00"
CHCL,4/3/2012,594,600,585,596,"4,140.00","2,456,680.00"
CHCL,4/4/2012,596,598,594,595,560,"333,310.00"
CHCL,4/5/2012,595,605,595,595,"1,460.00","869,210.00"
CHCL,4/8/2012,595,600,594,596,"1,980.00","1,177,870.00"
CHCL,4/9/2012,596,605,596,600,"4,360.00","2,604,510.00"
CHCL,4/10/2012,600,608,592,606,630,"378,410.00"
CHCL,4/11/2012,606,636,608,610,"5,120.00","3,126,710.00"
CHCL,4/12/2012,610,637,611,637,"4,100.00","2,555,550.00"
CHCL,4/15/2012,637,688,649,687,"3,040.00","2,063,380.00"
CHCL,4/16/2012,687,700,700,700,10,"7,000.00"
CHCL,4/17/2012,700,770,657,680,"10,410.00","7,526,460.00"
CHCL,4/18/2012,680,745,658,726,"6,290.00","4,380,890.00"
CHCL,4/19/2012,726,749,720,735,"4,230.00","3,104,540.00"
CHCL,4/22/2012,735,769,740,766,"6,270.00","4,730,430.00"
CHCL,4/24/2012,766,827,781,827,590,"471,690.00"
CHCL,4/25/2012,827,909,843,909,"1,660.00","1,497,510.00"
CHCL,4/26/2012,909,948,860,896,"16,192.00","14,709,314.00"
CHCL,4/29/2012,896,904,861,888,"11,728.00","10,430,096.00"
CHCL,4/30/2012,888,880,845,851,"5,692.00","4,872,880.00"
CHCL,5/2/2012,851,834,766,771,"4,996.00","3,857,064.00"
CHCL,5/3/2012,771,786,786,786,12,"9,432.00"
CHCL,5/7/2012,786,833,801,833,126,"103,742.00"
CHCL,5/8/2012,833,901,849,900,"10,080.00","8,875,950.00"
CHCL,5/9/2012,900,900,856,874,"9,050.00","7,915,472.00"
CHCL,5/10/2012,874,867,827,857,"7,862.00","6,708,074.00"
CHCL,5/13/2012,857,848,799,812,"4,768.00","3,855,072.00"
CHCL,5/14/2012,812,796,761,766,"7,552.00","5,793,054.00"
CHCL,5/15/2012,766,842,781,842,"4,918.00","4,061,874.00"
CHCL,5/16/2012,842,875,858,875,40,"34,660.00"
CHCL,5/17/2012,875,950,860,886,"12,500.00","11,235,464.00"
CHCL,5/20/2012,886,881,840,870,"7,492.00","6,473,690.00"
CHCL,5/21/2012,870,890,839,885,"6,120.00","5,342,812.00"
CHCL,5/22/2012,885,877,830,866,"7,062.00","6,069,822.00"
CHCL,5/23/2012,866,849,806,815,"5,506.00","4,509,872.00"
CHCL,5/24/2012,815,859,805,850,"6,274.00","5,235,800.00"
CHCL,5/27/2012,850,888,860,881,"9,076.00","7,921,046.00"
CHCL,5/29/2012,881,864,793,793,260,"208,800.00"
CHCL,5/30/2012,793,778,714,714,"14,732.00","10,524,642.00"
CHCL,5/31/2012,714,760,674,740,"9,490.00","6,912,962.00"
CHCL,6/3/2012,740,825,754,818,"14,662.00","12,022,372.00"
CHCL,6/4/2012,818,825,765,793,"7,772.00","6,180,344.00"
CHCL,6/5/2012,793,790,760,777,"4,222.00","3,281,298.00"
CHCL,6/6/2012,777,777,761,770,"3,270.00","2,510,820.00"
CHCL,6/7/2012,770,791,761,780,"4,402.00","3,428,746.00"
CHCL,6/10/2012,780,777,765,770,"4,096.00","3,151,926.00"
CHCL,6/11/2012,770,801,772,780,686,"537,166.00"
CHCL,6/12/2012,780,789,755,780,"1,580.00","1,221,638.00"
CHCL,6/13/2012,780,795,770,779,"3,332.00","2,578,714.00"
CHCL,6/14/2012,779,779,765,779,"2,602.00","2,015,024.00"
CHCL,6/17/2012,779,793,771,780,"2,292.00","1,785,404.00"
CHCL,6/18/2012,780,794,770,789,"2,932.00","2,301,386.00"
CHCL,6/19/2012,789,787,777,787,"3,212.00","2,511,922.00"
CHCL,6/20/2012,787,800,785,788,"2,554.00","2,018,222.00"
CHCL,6/21/2012,788,810,775,810,"4,500.00","3,601,008.00"
CHCL,6/25/2012,810,835,801,833,"5,504.00","4,513,978.00"
CHCL,6/26/2012,833,831,808,831,"7,064.00","5,793,712.00"
CHCL,6/27/2012,831,845,815,840,"6,216.00","5,197,316.00"
CHCL,6/28/2012,840,845,811,843,"5,440.00","4,566,834.00"
CHCL,7/1/2012,843,842,825,832,"7,440.00","6,204,262.00"
CHCL,7/2/2012,832,850,821,840,"3,918.00","3,283,176.00"
CHCL,7/3/2012,840,840,809,840,"3,798.00","3,168,516.00"
CHCL,7/4/2012,840,852,833,846,"5,560.00","4,690,904.00"
CHCL,7/5/2012,846,855,844,845,"12,308.00","10,428,082.00"
