Symbol,Date,Open,High,Low,Close,Volume
NABIL,3/20/2011,1200,1190,1160,1170,"1,000,811.00"
NABIL,3/24/2011,1162,1178,1150,1153,"412,649.00"
NABIL,3/25/2011,1153,1174,1145,1174,"807,507.00"
NABIL,3/27/2011,1174,1160,1120,1147,"1,619,270.00"
NABIL,3/28/2011,1147,1150,1110,1132,"393,534.00"
NABIL,3/29/2011,1132,1120,1050,1097,"1,576,420.00"
NABIL,3/30/2011,1097,1076,1030,1040,"1,394,926.00"
NABIL,3/31/2011,1040,1109,1020,1082,"1,947,570.00"
NABIL,4/4/2011,1082,1099,1064,1099,"1,235,826.00"
NABIL,4/5/2011,1099,1100,1079,1100,"124,295.00"
NABIL,4/6/2011,1100,1122,1093,1122,"273,134.00"
NABIL,4/7/2011,1122,1115,1078,1111,"698,060.00"
NABIL,4/10/2011,1111,1115,1071,1115,"1,865,458.00"
NABIL,4/11/2011,1115,1112,1070,1112,"575,640.00"
NABIL,4/13/2011,1112,1218,1100,1218,"435,768.00"
NABIL,4/17/2011,1218,1194,1098,1098,"539,528.00"
NABIL,4/18/2011,1098,1086,1055,1086,"808,830.00"
NABIL,4/19/2011,1086,1066,1057,1066,"1,384,936.00"
NABIL,4/20/2011,1066,1075,1060,1063,"1,319,397.00"
NABIL,4/21/2011,1063,1075,1062,1075,"480,915.00"
NABIL,4/25/2011,1075,1078,1045,1078,"401,951.00"
NABIL,4/27/2011,1078,1081,1055,1081,"796,565.00"
NABIL,4/28/2011,1081,1062,1046,1046,"1,076,480.00"
NABIL,5/2/2011,1046,1055,1040,1040,"785,510.00"
NABIL,5/3/2011,1040,1045,1010,1045,"797,350.00"
NABIL,5/4/2011,1045,1039,1010,1019,"605,805.00"
NABIL,5/5/2011,1019,1039,1030,1030,"130,014.00"
NABIL,5/8/2011,1030,1040,1030,1040,"460,725.00"
NABIL,5/9/2011,1040,1045,1040,1040,"179,240.00"
NABIL,5/10/2011,1040,1051,1040,1050,"1,106,006.00"
NABIL,5/11/2011,1050,1070,1050,1070,"849,824.00"
NABIL,5/12/2011,1070,1096,1070,1091,"990,544.00"
NABIL,5/15/2011,1091,1155,1112,1155,"43,057.00"
NABIL,5/16/2011,1155,1193,1160,1193,"183,026.00"
NABIL,5/18/2011,1193,1172,1150,1172,"1,087,972.00"
NABIL,5/19/2011,1172,1194,1155,1194,"573,992.00"
NABIL,5/22/2011,1194,1193,1178,1178,"135,930.00"
NABIL,5/23/2011,1178,1189,1165,1170,"279,927.00"
NABIL,5/24/2011,1170,1160,1150,1150,"325,456.00"
NABIL,5/25/2011,1150,1159,1100,1150,"664,216.00"
NABIL,5/26/2011,1150,1149,1127,1149,"143,553.00"
NABIL,5/30/2011,1149,1151,1140,1150,"366,010.00"
NABIL,5/31/2011,1150,1140,1080,1100,"967,825.00"
NABIL,6/1/2011,1100,1122,1060,1080,"364,480.00"
NABIL,6/2/2011,1080,1101,1040,1056,"2,011,952.00"
NABIL,6/5/2011,1056,1060,1030,1060,"691,620.00"
NABIL,6/6/2011,1060,1060,1020,1055,"1,104,070.00"
NABIL,6/7/2011,1055,1045,1000,1045,"240,327.00"
NABIL,6/8/2011,1045,1025,985,1020,"1,209,779.00"
NABIL,6/9/2011,1020,1025,966,1023,"333,519.00"
NABIL,6/12/2011,1023,1003,932,965,"601,240.00"
NABIL,6/13/2011,965,955,903,933,"2,453,922.00"
NABIL,6/14/2011,933,915,855,868,"1,520,501.00"
NABIL,6/15/2011,868,860,790,817,"1,582,441.00"
NABIL,6/16/2011,817,898,803,898,"1,626,616.00"
NABIL,6/19/2011,898,987,915,987,"1,334,036.00"
NABIL,6/20/2011,898,987,915,987,"1,334,036.00"
NABIL,6/21/2011,1085,1193,1106,1193,"4,021,756.00"
NABIL,6/23/2011,1193,1312,1216,1310,"4,805,062.00"
NABIL,6/26/2011,1310,1375,1179,1228,"5,020,720.00"
NABIL,6/27/2011,1228,1219,1106,1106,"629,914.00"
NABIL,6/29/2011,1106,1140,1024,1123,"1,730,151.00"
NABIL,6/30/2011,1123,1140,1060,1140,"2,042,371.00"
NABIL,7/3/2011,1140,1118,1059,1065,"929,659.00"
NABIL,7/4/2011,1065,1086,1030,1086,"3,945,917.00"
NABIL,7/5/2011,1086,1140,1086,1140,"1,284,613.00"
NABIL,7/6/2011,1140,1162,1100,1100,"1,321,084.00"
NABIL,7/7/2011,1100,1125,1098,1120,"383,354.00"
NABIL,7/10/2011,1120,1150,1135,1140,"2,311,080.00"
NABIL,7/11/2011,1140,1164,1130,1160,"2,053,243.00"
NABIL,7/12/2011,1160,1240,1180,1190,"1,222,314.00"
NABIL,7/13/2011,1190,1260,1190,1190,"1,934,702.00"
NABIL,7/14/2011,1190,1252,1213,1252,"1,083,658.00"
NABIL,7/17/2011,1252,1377,1277,1377,"235,979.00"
NABIL,7/18/2011,1377,1410,1258,1283,"2,115,924.00"
NABIL,7/19/2011,1283,1321,1285,1321,"1,702,762.00"
NABIL,7/20/2011,1321,1373,1326,1356,"1,095,038.00"
NABIL,7/21/2011,1356,1380,1345,1370,"1,742,628.00"
NABIL,7/24/2011,1370,1345,1260,1320,"1,046,020.00"
NABIL,7/25/2011,1320,1294,1294,1294,"76,346.00"
NABIL,7/26/2011,1294,1270,1246,1265,"826,113.00"
NABIL,7/27/2011,1265,1294,1245,1294,"2,554,709.00"
NABIL,7/28/2011,1294,1305,1276,1289,"744,984.00"
NABIL,7/31/2011,1289,1264,1240,1250,"674,520.00"
NABIL,8/1/2011,1250,1254,1241,1246,"616,155.00"
NABIL,8/2/2011,1246,1270,1242,1266,"743,514.00"
NABIL,8/3/2011,1266,1255,1235,1240,"824,608.00"
NABIL,8/4/2011,1240,1252,1232,1252,"140,848.00"
NABIL,8/9/2011,1252,1227,1180,1182,"878,783.00"
NABIL,8/10/2011,1182,1234,1160,1234,"1,316,070.00"
NABIL,8/11/2011,1234,1255,1220,1220,"141,748.00"
