Symbol,Date,Open,High,Low,Close,Volume,Turnover
SCB,3/20/2011,"1,779.00","1,770.00","1,770.00","1,770.00",34,"60,180.00"
SCB,3/24/2011,"1,785.00","1,760.00","1,700.00","1,700.00","1,140.00","1,955,010.00"
SCB,3/25/2011,"1,700.00","1,734.00","1,676.00","1,734.00","1,252.00","2,127,708.00"
SCB,3/27/2011,"1,734.00","1,714.00","1,690.00","1,690.00",157,"266,300.00"
SCB,3/28/2011,"1,690.00","1,680.00","1,627.00","1,627.00",270,"445,201.00"
SCB,3/29/2011,"1,627.00","1,625.00","1,568.00","1,570.00","1,150.00","1,825,717.00"
SCB,3/30/2011,"1,570.00","1,581.00","1,521.00","1,581.00",743,"1,142,522.00"
SCB,3/31/2011,"1,581.00","1,683.00","1,552.00","1,622.00","1,040.00","1,654,238.00"
SCB,4/4/2011,"1,622.00","1,645.00","1,625.00","1,630.00",504,"823,760.00"
SCB,4/5/2011,"1,630.00","1,626.00","1,570.00","1,601.00",969,"1,536,818.00"
SCB,4/6/2011,"1,601.00","1,610.00","1,585.00","1,610.00",328,"523,980.00"
SCB,4/7/2011,"1,610.00","1,661.00","1,630.00","1,635.00",263,"429,585.00"
SCB,4/10/2011,"1,635.00","1,635.00","1,620.00","1,625.00",325,"527,750.00"
SCB,4/11/2011,"1,625.00","1,646.00","1,605.00","1,640.00","1,891.00","3,082,209.00"
SCB,4/13/2011,"1,640.00","1,730.00","1,610.00","1,730.00",233,"384,544.00"
SCB,4/17/2011,"1,730.00","1,696.00","1,695.00","1,696.00",284,"481,514.00"
SCB,4/18/2011,"1,696.00","1,695.00","1,653.00","1,655.00",274,"456,384.00"
SCB,4/19/2011,"1,655.00","1,655.00","1,635.00","1,655.00","1,588.00","2,620,830.00"
SCB,4/20/2011,"1,655.00","1,658.00","1,610.00","1,625.00",747,"1,214,885.00"
SCB,4/21/2011,"1,625.00","1,615.00","1,598.00","1,600.00",707,"1,132,021.00"
SCB,4/25/2011,"1,600.00","1,581.00","1,550.00","1,575.00",170,"267,120.00"
SCB,4/26/2011,"1,575.00","1,551.00","1,551.00","1,551.00",25,"38,775.00"
SCB,4/27/2011,"1,551.00","1,581.00","1,520.00","1,581.00",935,"1,436,374.00"
SCB,4/28/2011,"1,581.00","1,555.00","1,550.00","1,555.00",467,"725,001.00"
SCB,5/2/2011,"1,555.00","1,580.00","1,550.00","1,550.00",856,"1,333,545.00"
SCB,5/3/2011,"1,550.00","1,559.00","1,539.00","1,555.00",743,"1,149,850.00"
SCB,5/4/2011,"1,555.00","1,560.00","1,540.00","1,540.00","1,867.00","2,886,818.00"
SCB,5/5/2011,"1,540.00","1,555.00","1,539.00","1,540.00","1,143.00","1,761,320.00"
SCB,5/8/2011,"1,540.00","1,550.00","1,540.00","1,544.00",886,"1,368,044.00"
SCB,5/10/2011,"1,544.00","1,580.00","1,550.00","1,580.00",359,"557,050.00"
SCB,5/11/2011,"1,580.00","1,600.00","1,590.00","1,590.00",396,"632,277.00"
SCB,5/12/2011,"1,590.00","1,647.00","1,605.00","1,647.00",389,"626,780.00"
